Freq(Hz),S11 (dB)_copper strip,S11 (dB)_HFSS,S11 (dB)_milled, S11(dB)_z0lver
1033000000,-13.258025,-17.13620365,-18.318186,-28.78185724
1034000000,-13.245747,-17.17898304,-18.199514,-28.63614075
1035000000,-13.260592,-17.22196418,-18.255766,-28.49276361
1036000000,-13.293744,-17.26514792,-18.180357,-28.3516403
1037000000,-13.264876,-17.30853512,-18.154778,-28.21270617
1038000000,-13.312134,-17.35212665,-18.179504,-28.07587589
1039000000,-13.312146,-17.39592337,-18.163389,-27.94115205
1040000000,-13.350208,-17.43992615,-18.080307,-27.80843131
1041000000,-13.38554,-17.48413586,-18.086964,-27.67764415
1042000000,-13.372895,-17.52855336,-18.019711,-27.54880428
1043000000,-13.39552,-17.57317955,-18.044491,-27.42181029
1044000000,-13.417463,-17.61801528,-17.999111,-27.29665437
1045000000,-13.448385,-17.66306144,-17.978975,-27.17323613
1046000000,-13.435383,-17.70831892,-17.904003,-27.05157105
1047000000,-13.448735,-17.75378859,-17.956501,-26.93158314
1048000000,-13.451355,-17.79947134,-17.896578,-26.81322789
1049000000,-13.501446,-17.84536806,-17.864958,-26.69649797
1050000000,-13.450527,-17.89147964,-17.870943,-26.58133926
1051000000,-13.525502,-17.93780696,-17.814281,-26.467705
1052000000,-13.533701,-17.98435093,-17.781036,-26.355571
1053000000,-13.603019,-18.03111243,-17.835819,-26.24488298
1054000000,-13.561684,-18.07809236,-17.795664,-26.13566502
1055000000,-13.622759,-18.12529162,-17.777941,-26.0278081
1056000000,-13.598042,-18.17271111,-17.786369,-25.92135588
1057000000,-13.604859,-18.22035173,-17.665598,-25.81621896
1058000000,-13.629595,-18.26821439,-17.674431,-25.71241764
1059000000,-13.728636,-18.31629997,-17.717607,-25.60988533
1060000000,-13.68637,-18.3646094,-17.66333,-25.50864482
1061000000,-13.724321,-18.41314358,-17.617758,-25.40859865
1062000000,-13.733821,-18.4619034,-17.596842,-25.30978037
1063000000,-13.759331,-18.51088978,-17.576925,-25.21215526
1064000000,-13.805259,-18.56010363,-17.624914,-25.11567785
1065000000,-13.821445,-18.60954586,-17.536819,-25.02034335
1066000000,-13.811956,-18.65921737,-17.532129,-24.9261497
1067000000,-13.830668,-18.70911908,-17.507225,-24.83301177
1068000000,-13.829989,-18.75925189,-17.546654,-24.74099421
1069000000,-13.912819,-18.80961671,-17.469147,-24.65000761
1070000000,-13.876723,-18.86021446,-17.437437,-24.5600794
1071000000,-13.934546,-18.91104603,-17.535357,-24.47115672
1072000000,-13.916037,-18.96211235,-17.379044,-24.38323883
1073000000,-13.993616,-19.01341432,-17.431292,-24.29630289
1074000000,-13.999184,-19.06495284,-17.424074,-24.21034017
1075000000,-14.022933,-19.11672883,-17.448229,-24.12530638
1076000000,-14.019477,-19.16874318,-17.404093,-24.04122873
1077000000,-14.070415,-19.2209968,-17.441666,-23.95806636
1078000000,-14.034641,-19.2734906,-17.374239,-23.87580891
1079000000,-14.087787,-19.32622547,-17.354843,-23.79444624
1080000000,-14.117362,-19.37920232,-17.233749,-23.71394932
1081000000,-14.152129,-19.43242203,-17.359869,-23.63430345
1082000000,-14.147193,-19.48588551,-17.286594,-23.55551552
1083000000,-14.250887,-19.53959364,-17.377529,-23.47755941
1084000000,-14.258934,-19.59354731,-17.305414,-23.40042135
1085000000,-14.231542,-19.6477474,-17.296267,-23.32408793
1086000000,-14.260971,-19.7021948,-17.371014,-23.24854837
1087000000,-14.315161,-19.75689038,-17.313778,-23.17378839
1088000000,-14.333909,-19.81183502,-17.290016,-23.0998091
1089000000,-14.348552,-19.86702958,-17.24387,-23.02657649
1090000000,-14.354574,-19.92247493,-17.195391,-22.95408786
1091000000,-14.37702,-19.97817192,-17.252502,-22.88236253
1092000000,-14.459593,-20.03412141,-17.241198,-22.81134635
1093000000,-14.448722,-20.09032424,-17.223955,-22.74104456
1094000000,-14.457383,-20.14678125,-17.277079,-22.67144354
1095000000,-14.512758,-20.20349328,-17.225479,-22.60256142
1096000000,-14.535592,-20.26046115,-17.194582,-22.53436261
1097000000,-14.581894,-20.31768568,-17.203972,-22.46681177
1098000000,-14.584631,-20.37516768,-17.245878,-22.39995912
1099000000,-14.631088,-20.43290794,-17.189102,-22.33376039
1100000000,-14.650015,-20.49090727,-17.199739,-22.26820629
1101000000,-14.688204,-20.54916645,-17.168909,-22.20329665
1102000000,-14.665315,-20.60768624,-17.189827,-22.13901563
1103000000,-14.719877,-20.66646741,-17.179852,-22.07535452
1104000000,-14.769656,-20.72551071,-17.235298,-22.01233849
1105000000,-14.793482,-20.78481687,-17.185186,-21.94990842
1106000000,-14.855559,-20.84438663,-17.120981,-21.88808444
1107000000,-14.864359,-20.90422069,-17.160933,-21.82687297
1108000000,-14.838932,-20.96431976,-17.156307,-21.76623162
1109000000,-14.931269,-21.02468451,-17.132145,-21.70617387
1110000000,-14.944612,-21.08531562,-17.178244,-21.64668886
1111000000,-14.963862,-21.14621374,-17.23027,-21.58777563
1112000000,-15.002322,-21.20737951,-17.189327,-21.52941273
1113000000,-15.022614,-21.26881353,-17.181252,-21.47162
1114000000,-15.056842,-21.33051642,-17.171318,-21.41435277
1115000000,-15.100154,-21.39248876,-17.247898,-21.35763737
1116000000,-15.106509,-21.4547311,-17.149269,-21.30146567
1117000000,-15.133414,-21.51724398,-17.157415,-21.24581601
1118000000,-15.176389,-21.58002792,-17.213791,-21.19068145
1119000000,-15.250749,-21.64308341,-17.166019,-21.13608048
1120000000,-15.235921,-21.70641093,-17.196159,-21.08197601
1121000000,-15.265203,-21.77001092,-17.221666,-21.028386
1122000000,-15.303493,-21.8338838,-17.2397,-20.97530075
1123000000,-15.343804,-21.89802995,-17.254946,-20.92269445
1124000000,-15.371863,-21.96244975,-17.199223,-20.87059467
1125000000,-15.388764,-22.02714351,-17.194435,-20.81897943
1126000000,-15.495105,-22.09211156,-17.165503,-20.76783254
1127000000,-15.456742,-22.15735414,-17.237167,-20.71716889
1128000000,-15.521134,-22.2228715,-17.272823,-20.66697956
1129000000,-15.549577,-22.28866384,-17.241367,-20.6172505
1130000000,-15.574705,-22.35473132,-17.27051,-20.56799243
1131000000,-15.646288,-22.42107406,-17.311155,-20.51917876
1132000000,-15.644732,-22.48769215,-17.251694,-20.47082496
1133000000,-15.698716,-22.55458563,-17.30356,-20.42291977
1134000000,-15.712496,-22.6217545,-17.209608,-20.3754499
1135000000,-15.751641,-22.68919872,-17.260838,-20.32843301
1136000000,-15.803523,-22.7569182,-17.304623,-20.28184792
1137000000,-15.844133,-22.82491278,-17.324949,-20.23568739
1138000000,-15.862207,-22.8931823,-17.345947,-20.18996339
1139000000,-15.940874,-22.96172649,-17.294876,-20.14466199
1140000000,-15.933647,-23.03054506,-17.387987,-20.09977841
1141000000,-15.977478,-23.09963767,-17.344986,-20.05531902
1142000000,-16.045977,-23.16900388,-17.436213,-20.01126035
1143000000,-16.067507,-23.23864323,-17.372257,-19.96762871
1144000000,-16.088089,-23.30855519,-17.393688,-19.92437566
1145000000,-16.131453,-23.37873913,-17.375963,-19.8815537
1146000000,-16.156193,-23.4491944,-17.388559,-19.83911369
1147000000,-16.216494,-23.51992025,-17.354803,-19.79708285
1148000000,-16.267395,-23.59091585,-17.436338,-19.75544496
1149000000,-16.286879,-23.66218032,-17.447868,-19.71418196
1150000000,-16.327778,-23.73371268,-17.410194,-19.67330806
1151000000,-16.383762,-23.80551186,-17.362003,-19.63282978
1152000000,-16.442635,-23.87757674,-17.504377,-19.59271132
1153000000,-16.45904,-23.94990607,-17.435246,-19.55298586
1154000000,-16.518253,-24.02249854,-17.480047,-19.51364412
1155000000,-16.566944,-24.09535272,-17.454102,-19.47466236
1156000000,-16.603033,-24.1684671,-17.570204,-19.43604218
1157000000,-16.637272,-24.24184005,-17.581697,-19.39780279
1158000000,-16.689249,-24.31546985,-17.543293,-19.35991047
1159000000,-16.724203,-24.38935467,-17.5446,-19.32240092
1160000000,-16.788,-24.46349256,-17.57238,-19.28523349
1161000000,-16.819927,-24.53788143,-17.618269,-19.24842429
1162000000,-16.880985,-24.61251912,-17.637768,-19.21197193
1163000000,-16.939154,-24.68740329,-17.749607,-19.17586793
1164000000,-16.957434,-24.76253151,-17.630598,-19.14010901
1165000000,-17.043501,-24.83790119,-17.701077,-19.10469798
1166000000,-17.074503,-24.91350962,-17.699274,-19.06963864
1167000000,-17.123064,-24.98935391,-17.719561,-19.03492172
1168000000,-17.118446,-25.06543106,-17.889469,-19.00054012
1169000000,-17.225298,-25.1417379,-17.82806,-18.96649477
1170000000,-17.294662,-25.2182711,-17.855904,-18.93277176
1171000000,-17.374918,-25.29502716,-17.836088,-18.89939782
1172000000,-17.353741,-25.37200242,-17.855265,-18.86635902
1173000000,-17.42523,-25.44919303,-17.898146,-18.83363674
1174000000,-17.449806,-25.52659497,-17.882687,-18.80125168
1175000000,-17.480949,-25.60420404,-18.004578,-18.76916684
1176000000,-17.552118,-25.68201582,-17.879421,-18.73743013
1177000000,-17.604219,-25.76002572,-17.935484,-18.70601924
1178000000,-17.60519,-25.83822892,-17.988035,-18.67492272
1179000000,-17.698523,-25.91662039,-18.046047,-18.64412835
1180000000,-17.772301,-25.99519491,-18.070816,-18.61366432
1181000000,-17.81778,-26.073947,-18.056068,-18.58350208
1182000000,-17.857548,-26.15287097,-18.039421,-18.5536697
1183000000,-17.933508,-26.23196087,-18.170458,-18.5241379
1184000000,-17.948307,-26.31121052,-18.194551,-18.49491469
1185000000,-18.022539,-26.39061349,-18.207203,-18.4659948
1186000000,-18.047506,-26.47016307,-18.26531,-18.43738339
1187000000,-18.138622,-26.5498523,-18.268951,-18.40908275
1188000000,-18.147623,-26.62967395,-18.359953,-18.38107361
1189000000,-18.208033,-26.70962048,-18.319427,-18.35337992
1190000000,-18.290268,-26.78968408,-18.341286,-18.32598157
1191000000,-18.355396,-26.86985665,-18.318747,-18.29887821
1192000000,-18.412146,-26.95012976,-18.427845,-18.27206579
1193000000,-18.448244,-27.03049468,-18.377115,-18.24555419
1194000000,-18.520861,-27.11094237,-18.504829,-18.21933937
1195000000,-18.557522,-27.19146344,-18.491232,-18.19342378
1196000000,-18.599478,-27.27204817,-18.570589,-18.16778602
1197000000,-18.661963,-27.35268651,-18.608776,-18.14244973
1198000000,-18.715418,-27.43336804,-18.629816,-18.11739455
1199000000,-18.750448,-27.51408199,-18.599226,-18.09263037
1200000000,-18.802588,-27.59481722,-18.647507,-18.06815426
1201000000,-18.87639,-27.67556222,-18.769279,-18.04397333
1202000000,-18.91688,-27.75630509,-18.780672,-18.02006661
1203000000,-18.954773,-27.83703354,-18.834181,-17.99643318
1204000000,-19.01391,-27.91773489,-18.826769,-17.97309911
1205000000,-19.130487,-27.99839607,-18.842804,-17.95004539
1206000000,-19.205076,-28.07900358,-18.963089,-17.92727023
1207000000,-19.231604,-28.15954351,-18.985888,-17.9047629
1208000000,-19.233583,-28.24000154,-19.04303,-17.88254577
1209000000,-19.365063,-28.32036291,-19.048317,-17.86059125
1210000000,-19.392748,-28.40061243,-19.149979,-17.83892965
1211000000,-19.419174,-28.48073448,-19.216835,-17.81753617
1212000000,-19.453203,-28.56071301,-19.189045,-17.79641977
1213000000,-19.538816,-28.64053151,-19.264175,-17.77557441
1214000000,-19.574945,-28.72017301,-19.343946,-17.75501255
1215000000,-19.641304,-28.79962014,-19.380505,-17.73470883
1216000000,-19.704044,-28.87885502,-19.360842,-17.71468193
1217000000,-19.814695,-28.95785937,-19.455421,-17.69493375
1218000000,-19.860174,-29.03661442,-19.517076,-17.67543656
1219000000,-19.950968,-29.11510098,-19.468838,-17.65622641
1220000000,-19.880602,-29.19329939,-19.643276,-17.63727478
1221000000,-19.990461,-29.27118955,-19.588388,-17.61859415
1222000000,-20.027756,-29.34875092,-19.684681,-17.60017354
1223000000,-20.130533,-29.42596252,-19.745232,-17.58202629
1224000000,-20.115046,-29.50280295,-19.849392,-17.56414923
1225000000,-20.184441,-29.57925036,-19.896206,-17.5465229
1226000000,-20.277855,-29.65528251,-19.919937,-17.52917698
1227000000,-20.337574,-29.73087674,-19.971727,-17.51208517
1228000000,-20.379772,-29.80600999,-20.070318,-17.49526765
1229000000,-20.422398,-29.88065883,-20.194136,-17.47869656
1230000000,-20.438213,-29.95479947,-20.266277,-17.46239636
1231000000,-20.50112,-30.02840772,-20.339424,-17.4463632
1232000000,-20.57266,-30.10145912,-20.369576,-17.43058818
1233000000,-20.612949,-30.17392883,-20.291737,-17.41507183
1234000000,-20.721628,-30.24579176,-20.440025,-17.39980448
1235000000,-20.662766,-30.31702251,-20.53886,-17.38482149
1236000000,-20.739983,-30.38759544,-20.64925,-17.37008606
1237000000,-20.767773,-30.45748468,-20.680887,-17.35561574
1238000000,-20.813311,-30.52666417,-20.818647,-17.34139842
1239000000,-20.887812,-30.59510766,-20.771198,-17.32744233
1240000000,-20.881672,-30.66278877,-20.83544,-17.31373379
1241000000,-20.970591,-30.729681,-20.968163,-17.30030373
1242000000,-20.954723,-30.79575776,-21.05484,-17.28710995
1243000000,-21.024469,-30.86099244,-21.187424,-17.27418421
1244000000,-21.038029,-30.92535841,-21.205791,-17.2615096
1245000000,-21.087955,-30.98882906,-21.293432,-17.24910692
1246000000,-21.099783,-31.05137785,-21.411037,-17.23695598
1247000000,-21.129946,-31.11297837,-21.490911,-17.22505587
1248000000,-21.223763,-31.17360433,-21.579268,-17.21340489
1249000000,-21.250996,-31.23322962,-21.743952,-17.20202965
1250000000,-21.307339,-31.2918284,-21.755024,-17.19090095
1251000000,-21.348654,-31.34937508,-21.861393,-17.18003793
1252000000,-21.338423,-31.40584439,-21.979906,-17.169414
1253000000,-21.349064,-31.46121142,-22.03215,-17.15905412
1254000000,-21.329416,-31.51545168,-22.119946,-17.14894754
1255000000,-21.42621,-31.56854112,-22.274971,-17.13910839
1256000000,-21.374525,-31.62045618,-22.412291,-17.12951027
1257000000,-21.439863,-31.67117386,-22.660425,-17.12018058
1258000000,-21.460024,-31.72067173,-22.597103,-17.11109547
1259000000,-21.486752,-31.76892798,-22.642059,-17.10227571
1260000000,-21.55278,-31.81592146,-22.824625,-17.09370991
1261000000,-21.497372,-31.86163176,-22.934698,-17.08540482
1262000000,-21.480038,-31.90603918,-23.007109,-17.07735405
1263000000,-21.481256,-31.94912482,-23.245634,-17.06955287
1264000000,-21.493088,-31.99087059,-23.243216,-17.06200893
1265000000,-21.536543,-32.03125926,-23.457352,-17.0547364
1266000000,-21.487005,-32.07027448,-23.595158,-17.04770519
1267000000,-21.457041,-32.1079008,-23.645937,-17.04093363
1268000000,-21.44253,-32.14412373,-23.817783,-17.03442776
1269000000,-21.418713,-32.17892973,-23.84782,-17.02817314
1270000000,-21.503042,-32.21230624,-24.125393,-17.02217503
1271000000,-21.418621,-32.24424171,-24.128374,-17.01644442
1272000000,-21.463953,-32.27472561,-24.422001,-17.01096451
1273000000,-21.373486,-32.30374842,-24.520403,-17.00574305
1274000000,-21.444881,-32.33130167,-24.715624,-17.00077637
1275000000,-21.403709,-32.35737795,-24.813295,-16.99608286
1276000000,-21.351387,-32.38197086,-25.001421,-16.99163931
1277000000,-21.411934,-32.40507507,-25.249292,-16.98746331
1278000000,-21.319626,-32.4266863,-25.422464,-16.98354393
1279000000,-21.272491,-32.44680128,-25.503584,-16.97989309
1280000000,-21.272284,-32.46541777,-25.664862,-16.9764926
1281000000,-21.279022,-32.48253456,-25.897717,-16.97336172
1282000000,-21.197872,-32.49815141,-26.08713,-16.97048149
1283000000,-21.234495,-32.51226907,-26.379686,-16.9678834
1284000000,-21.107775,-32.52488925,-26.555159,-16.96553392
1285000000,-21.071913,-32.53601458,-26.848253,-16.96346618
1286000000,-21.162081,-32.5456486,-26.891798,-16.96163856
1287000000,-21.05197,-32.55379573,-27.147751,-16.9600932
1288000000,-20.979527,-32.56046122,-27.512836,-16.9588202
1289000000,-20.992254,-32.56565115,-27.775476,-16.95779103
1290000000,-20.994324,-32.56937238,-28.214348,-16.95705435
1291000000,-20.913042,-32.5716325,-28.098267,-16.95657923
1292000000,-20.761553,-32.57243981,-28.578135,-16.9563697
1293000000,-20.886831,-32.57180331,-28.861612,-16.95642817
1294000000,-20.754534,-32.56973259,-29.0578,-16.95676115
1295000000,-20.740131,-32.56623786,-29.566223,-16.95735973
1296000000,-20.615997,-32.56132988,-29.799679,-16.95822559
1297000000,-20.597946,-32.55501993,-29.828733,-16.95937909
1298000000,-20.596024,-32.54731975,-30.454296,-16.96079923
1299000000,-20.536766,-32.53824153,-30.549477,-16.9624926
1300000000,-20.398834,-32.52779787,-31.167568,-16.96446992
1301000000,-20.352093,-32.51600171,-31.509932,-16.96671266
1302000000,-20.321163,-32.50286633,-32.198898,-16.96923806
1303000000,-20.316425,-32.4884053,-32.210831,-16.9720431
1304000000,-20.266531,-32.47263243,-32.815357,-16.97513614
1305000000,-20.20993,-32.45556177,-33.222347,-16.97850769
1306000000,-20.08037,-32.43720753,-33.956722,-16.98215232
1307000000,-20.087021,-32.4175841,-34.453899,-16.98607767
1308000000,-20.007334,-32.39670599,-35.113804,-16.99029709
1309000000,-19.93922,-32.3745878,-36.122082,-16.9947906
1310000000,-19.751055,-32.3512442,-36.177345,-16.99958219
1311000000,-19.772673,-32.32668992,-37.454903,-17.00465354
1312000000,-19.730686,-32.30093969,-38.407475,-17.01000671
1313000000,-19.626368,-32.27400827,-39.568439,-17.01566583
1314000000,-19.617031,-32.24591036,-39.634399,-17.02159954
1315000000,-19.582186,-32.21666065,-40.410217,-17.02783859
1316000000,-19.465948,-32.18627378,-42.00602,-17.03437537
1317000000,-19.401583,-32.15476429,-44.196301,-17.04120228
1318000000,-19.356119,-32.12214665,-44.075748,-17.04832481
1319000000,-19.306513,-32.08843523,-45.906204,-17.0557354
1320000000,-19.170034,-32.05364431,-45.967251,-17.06346013
1321000000,-19.081001,-32.01778803,-45.412643,-17.0714915
1322000000,-19.008469,-31.98088041,-45.288322,-17.07979738
1323000000,-18.973249,-31.94293535,-44.061108,-17.08844426
1324000000,-18.913807,-31.90396661,-42.617901,-17.09735724
1325000000,-18.826736,-31.86398781,-41.068474,-17.10660383
1326000000,-18.718838,-31.82301242,-40.770977,-17.11615274
1327000000,-18.712029,-31.78105377,-39.031204,-17.12601557
1328000000,-18.611656,-31.73812507,-38.079693,-17.13619905
1329000000,-18.508984,-31.69423935,-37.262695,-17.14668591
1330000000,-18.482424,-31.64940953,-36.439999,-17.15749037
1331000000,-18.369675,-31.60364838,-35.785999,-17.16861843
1332000000,-18.307819,-31.55696851,-35.042702,-17.18005537
1333000000,-18.249733,-31.50938244,-34.160152,-17.19182884
1334000000,-18.157846,-31.46090253,-33.679459,-17.20392088
1335000000,-18.06867,-31.41154104,-33.386951,-17.21632512
1336000000,-18.027971,-31.36131009,-32.314842,-17.22907692
1337000000,-17.957754,-31.31022169,-32.021126,-17.24214333
1338000000,-17.864925,-31.25828775,-31.359838,-17.25555737
1339000000,-17.764029,-31.2055201,-30.93075,-17.26929109
1340000000,-17.705606,-31.15193042,-30.553642,-17.28336339
1341000000,-17.657551,-31.09753036,-30.108042,-17.29778745
1342000000,-17.56673,-31.04233146,-29.80574,-17.31253952
1343000000,-17.498549,-30.98634518,-29.25428,-17.32765304
1344000000,-17.393303,-30.92958292,-29.016653,-17.34309333
1345000000,-17.379946,-30.87205602,-28.348898,-17.35888132
1346000000,-17.277456,-30.81377575,-28.096581,-17.37503808
1347000000,-17.218426,-30.75475335,-27.667852,-17.39153654
1348000000,-17.151628,-30.695,-27.484602,-17.40838514
1349000000,-17.065491,-30.63452683,-27.132944,-17.42560518
1350000000,-17.045364,-30.57334497,-26.785074,-17.44316869
1351000000,-16.966463,-30.51146549,-26.474007,-17.46110306
1352000000,-16.894384,-30.44889945,-26.239063,-17.47942477
1353000000,-16.844551,-30.38565788,-25.901176,-17.4980879
1354000000,-16.69375,-30.3217518,-25.822077,-17.51713895
1355000000,-16.707542,-30.25719223,-25.315659,-17.53656202
1356000000,-16.656836,-30.19199015,-25.073309,-17.55636436
1357000000,-16.553688,-30.12615656,-24.885828,-17.57654126
1358000000,-16.490444,-30.05970245,-24.564137,-17.59711136
1359000000,-16.461502,-29.9926388,-24.389837,-17.61807873
1360000000,-16.349266,-29.92497661,-24.072149,-17.63941797
1361000000,-16.264898,-29.85672684,-23.845264,-17.66116797
1362000000,-16.199907,-29.7879005,-23.61698,-17.68330773
1363000000,-16.145069,-29.71850857,-23.457809,-17.7058555
1364000000,-16.104288,-29.64856206,-23.224752,-17.72879551
1365000000,-16.046623,-29.57807194,-22.927538,-17.75215761
1366000000,-15.945101,-29.50704924,-22.807505,-17.77593052
1367000000,-15.866551,-29.43550493,-22.610819,-17.80010735
1368000000,-15.838617,-29.36345004,-22.373266,-17.82470506
1369000000,-15.793384,-29.29089554,-22.184067,-17.84974615
1370000000,-15.685426,-29.21785245,-21.94529,-17.87520087
1371000000,-15.634098,-29.14433174,-21.827364,-17.90108562
1372000000,-15.600294,-29.07034442,-21.607821,-17.92741252
1373000000,-15.519294,-28.99590143,-21.408108,-17.95417951
1374000000,-15.456187,-28.92101376,-21.291733,-17.98138545
1375000000,-15.345306,-28.84569234,-21.028492,-18.00904907
1376000000,-15.37641,-28.7699481,-20.842684,-18.03716402
1377000000,-15.341156,-28.69379195,-20.697357,-18.06572482
1378000000,-15.173889,-28.61723477,-20.584047,-18.09477786
1379000000,-15.087207,-28.54028739,-20.395016,-18.12428338
1380000000,-15.088416,-28.46296066,-20.191051,-18.15424606
1381000000,-15.005081,-28.38526533,-20.069889,-18.1847019
1382000000,-14.938131,-28.30721217,-19.94379,-18.21563764
1383000000,-14.871504,-28.22881186,-19.749346,-18.24705838
1384000000,-14.803969,-28.15007506,-19.614267,-18.2789749
1385000000,-14.74719,-28.07101236,-19.485931,-18.31139907
1386000000,-14.722986,-27.9916343,-19.280355,-18.34430659
1387000000,-14.611397,-27.91195138,-19.176357,-18.37773842
1388000000,-14.52493,-27.831974,-19.003426,-18.411691
1389000000,-14.54415,-27.75171253,-18.829241,-18.44615701
1390000000,-14.46656,-27.67117724,-18.674294,-18.48114045
1391000000,-14.410925,-27.59037834,-18.552244,-18.51666816
1392000000,-14.330638,-27.50932596,-18.456915,-18.55273601
1393000000,-14.288671,-27.42803014,-18.325163,-18.58934271
1394000000,-14.251587,-27.34650084,-18.173838,-18.62651482
1395000000,-14.198091,-27.26474794,-18.016809,-18.66424373
1396000000,-14.105151,-27.18278121,-17.909628,-18.70251878
1397000000,-14.085692,-27.10061034,-17.74905,-18.74138941
1398000000,-14.012172,-27.01824492,-17.647573,-18.78083765
1399000000,-13.980442,-26.93569441,-17.538221,-18.82086682
1400000000,-13.942372,-26.85296822,-17.376978,-18.86150589
1401000000,-13.798783,-26.7700756,-17.292763,-18.90274293
1402000000,-13.766571,-26.68702572,-17.117847,-18.94458467
1403000000,-13.720758,-26.60382763,-17.043404,-18.98705095
1404000000,-13.61134,-26.52049026,-16.908251,-19.030145
1405000000,-13.630157,-26.43702245,-16.786415,-19.07385814
1406000000,-13.633759,-26.35343288,-16.634119,-19.11822995
1407000000,-13.468378,-26.26973015,-16.579649,-19.16325623
1408000000,-13.538781,-26.18592271,-16.403559,-19.20893988
1409000000,-13.39978,-26.1020189,-16.322132,-19.25530126
1410000000,-13.387458,-26.01802693,-16.215097,-19.30232629
1411000000,-13.364125,-25.93395489,-16.112196,-19.35006048
1412000000,-13.261763,-25.84981074,-15.975821,-19.39849948
1413000000,-13.16683,-25.76560231,-15.901539,-19.44762748
1414000000,-13.164735,-25.68133731,-15.779436,-19.49750794
1415000000,-13.112574,-25.59702331,-15.677053,-19.54808677
1416000000,-13.115389,-25.51266775,-15.524044,-19.59943364
1417000000,-13.014157,-25.42827795,-15.504036,-19.65151763
1418000000,-12.983731,-25.34386109,-15.336009,-19.70437887
1419000000,-12.947154,-25.25942422,-15.262686,-19.75801539
1420000000,-12.876931,-25.17497428,-15.15447,-19.81243713
1421000000,-12.823941,-25.09051803,-15.069255,-19.86766299
1422000000,-12.772076,-25.00606216,-14.949397,-19.92370582
1423000000,-12.784441,-24.92161318,-14.853564,-19.98059196
1424000000,-12.661137,-24.8371775,-14.780207,-20.03829429
1425000000,-12.639627,-24.75276138,-14.647188,-20.09684735
1426000000,-12.573761,-24.66837098,-14.55376,-20.15628657
1427000000,-12.532817,-24.5840123,-14.474969,-20.21663928
1428000000,-12.472017,-24.49969122,-14.36772,-20.2778656
1429000000,-12.438439,-24.41541352,-14.247943,-20.33999992
1430000000,-12.421975,-24.33118481,-14.195098,-20.40306723
1431000000,-12.310233,-24.24701062,-14.077326,-20.46708395
1432000000,-12.336593,-24.16289632,-14.000314,-20.53205424
1433000000,-12.224132,-24.07884717,-13.923655,-20.5980245
1434000000,-12.25848,-23.99486832,-13.806906,-20.66499181
1435000000,-12.146233,-23.91096479,-13.729222,-20.73296032
1436000000,-12.161715,-23.82714148,-13.624713,-20.80200179
1437000000,-12.081084,-23.74340316,-13.549671,-20.87208008
1438000000,-12.015443,-23.65975452,-13.464335,-20.94320828
1439000000,-12.001549,-23.5762001,-13.377592,-21.01546087
1440000000,-11.9628,-23.49274433,-13.288806,-21.08884025
1441000000,-11.916019,-23.40939156,-13.21555,-21.16335267
1442000000,-11.83408,-23.32614598,-13.149858,-21.23900833
1443000000,-11.824357,-23.24301172,-13.026491,-21.31589128
1444000000,-11.805474,-23.15999276,-12.960053,-21.39395974
1445000000,-11.690804,-23.07709301,-12.8832,-21.4732593
1446000000,-11.709415,-22.99431625,-12.76862,-21.55383579
1447000000,-11.671761,-22.91166618,-12.766007,-21.63568987
