Freq(Hz),S11 (dB)_copper strip,S11 (dB)_HFSS,S11 (dB)_milled, S11(dB)_z0lver
1000000000,-12.823067,-15.83220721,-19.436253,-35.62069261
1001000000,-12.818413,-15.86879252,-19.355007,-35.3227437
1002000000,-12.82315,-15.90555279,-19.383959,-35.03368946
1003000000,-12.818073,-15.9424888,-19.230946,-34.75293438
1004000000,-12.83867,-15.97960132,-19.202547,-34.48001609
1005000000,-12.862912,-16.01689111,-19.214739,-34.21466868
1006000000,-12.872468,-16.05435895,-19.170635,-33.95637619
1007000000,-12.872042,-16.09200562,-19.088314,-33.7047447
1008000000,-12.918992,-16.12983191,-19.016911,-33.45954798
1009000000,-12.947372,-16.16783858,-19.03665,-33.22048102
1010000000,-12.947561,-16.20602644,-19.042747,-32.98721002
1011000000,-12.943132,-16.24439627,-18.934462,-32.75944212
1012000000,-12.957519,-16.28294886,-18.890181,-32.53700901
1013000000,-12.987131,-16.321685,-18.916164,-32.3196633
1014000000,-12.992187,-16.3606055,-18.911638,-32.10715735
1015000000,-12.992154,-16.39971116,-18.805691,-31.8992897
1016000000,-13.002649,-16.43900277,-18.78286,-31.6958794
1017000000,-13.025867,-16.47848115,-18.725071,-31.49677286
1018000000,-13.017831,-16.51814709,-18.729151,-31.30180567
1019000000,-12.997892,-16.55800143,-18.708735,-31.11077532
1020000000,-13.061119,-16.59804496,-18.623137,-30.92355243
1021000000,-13.078322,-16.63827851,-18.668339,-30.74000169
1022000000,-13.09905,-16.67870289,-18.560446,-30.56002054
1023000000,-13.091579,-16.71931894,-18.60177,-30.38342833
1024000000,-13.145684,-16.76012747,-18.563936,-30.2101214
1025000000,-13.100582,-16.80112931,-18.438622,-30.04000129
1026000000,-13.108574,-16.8423253,-18.451956,-29.87296629
1027000000,-13.137414,-16.88371627,-18.464043,-29.70888852
1028000000,-13.17896,-16.92530305,-18.451517,-29.54771839
1029000000,-13.17014,-16.96708649,-18.36558,-29.38930601
1030000000,-13.224449,-17.00906742,-18.371824,-29.23362042
1031000000,-13.166604,-17.05124669,-18.298452,-29.08051739
1032000000,-13.187593,-17.09362515,-18.196638,-28.92993758
