Freq,Simulated,Measured
1,-15.09571407,-16.800127
1.001,-15.0768709,-16.776104
1.002,-15.05806976,-16.742289
1.003,-15.03931064,-16.738312
1.004,-15.02059352,-16.752743
1.005,-15.00191842,-16.724369
1.006,-14.98328532,-16.690832
1.007,-14.96469423,-16.677114
1.008,-14.94614513,-16.649578
1.009,-14.92763802,-16.660898
1.01,-14.90917289,-16.613182
1.011,-14.89074974,-16.620657
1.012,-14.87236857,-16.589809
1.013,-14.85402936,-16.577538
1.014,-14.83573211,-16.580576
1.015,-14.81747681,-16.548136
1.016,-14.79926346,-16.543036
1.017,-14.78109204,-16.512171
1.018,-14.76296254,-16.523355
1.019,-14.74487497,-16.502222
1.02,-14.72682931,-16.470589
1.021,-14.70882554,-16.508696
1.022,-14.69086367,-16.456066
1.023,-14.67294367,-16.423273
1.024,-14.65506555,-16.435886
1.025,-14.63722928,-16.401171
1.026,-14.61943486,-16.360992
1.027,-14.60168228,-16.329798
1.028,-14.58397151,-16.368307
1.029,-14.56630256,-16.361271
1.03,-14.54867541,-16.347984
1.031,-14.53109004,-16.304457
1.032,-14.51354644,-16.317066
1.033,-14.4960446,-16.269104
1.034,-14.47858451,-16.264956
1.035,-14.46116614,-16.250408
1.036,-14.44378948,-16.236319
1.037,-14.42645452,-16.228312
1.038,-14.40916125,-16.222197
1.039,-14.39190964,-16.17972
1.04,-14.37469968,-16.185745
1.041,-14.35753135,-16.170162
1.042,-14.34040464,-16.17062
1.043,-14.32331953,-16.145231
1.044,-14.306276,-16.137171
1.045,-14.28927402,-16.116306
1.046,-14.27231359,-16.129736
1.047,-14.25539469,-16.070047
1.048,-14.23851728,-16.097507
1.049,-14.22168137,-16.067646
1.05,-14.20488691,-16.0525
1.051,-14.1881339,-16.016108
1.052,-14.17142231,-16.037697
1.053,-14.15475212,-16.032923
1.054,-14.13812331,-15.993755
1.055,-14.12153585,-15.995275
1.056,-14.10498973,-15.967868
1.057,-14.08848492,-15.946159
1.058,-14.0720214,-15.983932
1.059,-14.05559914,-15.928771
1.06,-14.03921812,-15.91545
1.061,-14.02287832,-15.910844
1.062,-14.0065797,-15.898409
1.063,-13.99032225,-15.898213
1.064,-13.97410594,-15.843596
1.065,-13.95793075,-15.834913
1.066,-13.94179664,-15.850018
1.067,-13.92570359,-15.816494
1.068,-13.90965157,-15.79295
1.069,-13.89364056,-15.784218
1.07,-13.87767053,-15.749155
1.071,-13.86174145,-15.782096
1.072,-13.84585328,-15.727441
1.073,-13.83000601,-15.734763
1.074,-13.8141996,-15.741785
1.075,-13.79843402,-15.738373
1.076,-13.78270925,-15.70395
1.077,-13.76702525,-15.658018
1.078,-13.75138198,-15.686598
1.079,-13.73577943,-15.66573
1.08,-13.72021755,-15.636144
1.081,-13.70469632,-15.634862
1.082,-13.6892157,-15.611182
1.083,-13.67377566,-15.599393
1.084,-13.65837617,-15.590792
1.085,-13.64301719,-15.566269
1.086,-13.62769869,-15.592192
1.087,-13.61242064,-15.55775
1.088,-13.597183,-15.535869
1.089,-13.58198573,-15.531957
1.09,-13.5668288,-15.502491
1.091,-13.55171217,-15.492558
1.092,-13.53663582,-15.486093
1.093,-13.52159969,-15.506079
1.094,-13.50660376,-15.472775
1.095,-13.49164798,-15.454059
1.096,-13.47673233,-15.448216
1.097,-13.46185675,-15.423622
1.098,-13.44702122,-15.426586
1.099,-13.4322257,-15.443916
1.1,-13.41747013,-15.385777
1.101,-13.4027545,-15.359967
1.102,-13.38807875,-15.366502
1.103,-13.37344284,-15.337089
1.104,-13.35884674,-15.332257
1.105,-13.34429041,-15.313169
1.106,-13.3297738,-15.282865
1.107,-13.31529686,-15.291932
1.108,-13.30085957,-15.283927
1.109,-13.28646188,-15.267482
1.11,-13.27210374,-15.229996
1.111,-13.25778511,-15.247478
1.112,-13.24350595,-15.208553
1.113,-13.22926622,-15.231869
1.114,-13.21506586,-15.223186
1.115,-13.20090484,-15.165306
1.116,-13.18678312,-15.206924
1.117,-13.17270063,-15.147226
1.118,-13.15865735,-15.161939
1.119,-13.14465323,-15.143381
1.12,-13.13068821,-15.124262
1.121,-13.11676226,-15.130917
1.122,-13.10287532,-15.098563
1.123,-13.08902735,-15.09287
1.124,-13.0752183,-15.081538
1.125,-13.06144813,-15.06346
1.126,-13.04771678,-15.042419
1.127,-13.03402421,-15.044503
1.128,-13.02037037,-15.040432
1.129,-13.00675521,-15.015381
1.13,-12.99317867,-15.030469
1.131,-12.97964072,-15.058935
1.132,-12.9661413,-15.019586
1.133,-12.95268036,-15.005802
1.134,-12.93925785,-14.950699
1.135,-12.92587371,-14.977475
1.136,-12.91252791,-14.959341
1.137,-12.89922038,-14.929033
1.138,-12.88595107,-14.903901
1.139,-12.87271993,-14.893998
1.14,-12.85952692,-14.874721
1.141,-12.84637197,-14.890275
1.142,-12.83325503,-14.854868
1.143,-12.82017606,-14.86254
1.144,-12.80713499,-14.846143
1.145,-12.79413177,-14.851933
1.146,-12.78116635,-14.829827
1.147,-12.76823868,-14.832691
1.148,-12.75534869,-14.823503
1.149,-12.74249633,-14.763506
1.15,-12.72968156,-14.780955
1.151,-12.71690431,-14.782928
1.152,-12.70416452,-14.785925
1.153,-12.69146214,-14.716759
1.154,-12.67879712,-14.706676
1.155,-12.6661694,-14.718259
1.156,-12.65357891,-14.722928
1.157,-12.64102561,-14.671947
1.158,-12.62850943,-14.679115
1.159,-12.61603032,-14.722211
1.16,-12.60358821,-14.651388
1.161,-12.59118306,-14.656703
1.162,-12.5788148,-14.647982
1.163,-12.56648337,-14.629634
1.164,-12.55418871,-14.649067
1.165,-12.54193077,-14.630805
1.166,-12.52970948,-14.607288
1.167,-12.51752479,-14.575729
1.168,-12.50537663,-14.581837
1.169,-12.49326495,-14.546288
1.17,-12.48118968,-14.54755
1.171,-12.46915076,-14.530332
1.172,-12.45714813,-14.51455
1.173,-12.44518173,-14.516088
1.174,-12.43325149,-14.535598
1.175,-12.42135737,-14.491143
1.176,-12.40949928,-14.52743
1.177,-12.39767718,-14.498501
1.178,-12.385891,-14.47346
1.179,-12.37414067,-14.474712
1.18,-12.36242614,-14.424381
1.181,-12.35074734,-14.42986
1.182,-12.3391042,-14.416025
1.183,-12.32749666,-14.434576
1.184,-12.31592467,-14.427277
1.185,-12.30438814,-14.402574
1.186,-12.29288703,-14.377745
1.187,-12.28142127,-14.356986
1.188,-12.26999078,-14.394553
1.189,-12.25859551,-14.347015
1.19,-12.24723539,-14.340238
1.191,-12.23591036,-14.343342
1.192,-12.22462035,-14.32965
1.193,-12.21336529,-14.313207
1.194,-12.20214512,-14.3097
1.195,-12.19095977,-14.294608
1.196,-12.17980918,-14.293362
1.197,-12.16869327,-14.29404
1.198,-12.15761199,-14.246609
1.199,-12.14656527,-14.240878
1.2,-12.13555304,-14.239434
1.201,-12.12457522,-14.237553
1.202,-12.11363176,-14.211171
1.203,-12.10272259,-14.207005
1.204,-12.09184764,-14.179185
1.205,-12.08100684,-14.19201
1.206,-12.07020012,-14.188136
1.207,-12.05942742,-14.161561
1.208,-12.04868866,-14.170454
1.209,-12.03798378,-14.137892
1.21,-12.02731272,-14.127064
1.211,-12.01667539,-14.122097
1.212,-12.00607173,-14.11518
1.213,-11.99550168,-14.104981
1.214,-11.98496516,-14.13413
1.215,-11.97446211,-14.117375
1.216,-11.96399244,-14.091513
1.217,-11.95355611,-14.090327
1.218,-11.94315303,-14.05824
1.219,-11.93278313,-14.048788
1.22,-11.92244635,-14.061057
1.221,-11.91214261,-14.027802
1.222,-11.90187185,-14.03922
1.223,-11.89163399,-14.000708
1.224,-11.88142896,-14.00956
1.225,-11.8712567,-14.01303
1.226,-11.86111713,-13.965242
1.227,-11.85101018,-14.014206
1.228,-11.84093577,-13.980231
1.229,-11.83089385,-13.991682
1.23,-11.82088433,-13.977131
1.231,-11.81090715,-13.949689
1.232,-11.80096224,-13.941223
1.233,-11.79104951,-13.931001
1.234,-11.78116891,-13.944972
1.235,-11.77132036,-13.926539
1.236,-11.76150378,-13.893615
1.237,-11.75171911,-13.895207
1.238,-11.74196627,-13.86509
1.239,-11.7322452,-13.900079
1.24,-11.72255581,-13.894905
1.241,-11.71289803,-13.881976
1.242,-11.70327181,-13.841341
1.243,-11.69367705,-13.846395
1.244,-11.68411369,-13.835085
1.245,-11.67458166,-13.809286
1.246,-11.66508088,-13.795586
1.247,-11.65561128,-13.844082
1.248,-11.64617279,-13.794802
1.249,-11.63676533,-13.780765
1.25,-11.62738884,-13.799931
1.251,-11.61804323,-13.788203
1.252,-11.60872844,-13.754176
1.253,-11.59944439,-13.753221
1.254,-11.59019101,-13.74446
1.255,-11.58096822,-13.777308
1.256,-11.57177596,-13.733826
1.257,-11.56261415,-13.742624
1.258,-11.55348271,-13.75244
1.259,-11.54438157,-13.686241
1.26,-11.53531066,-13.704492
1.261,-11.5262699,-13.71525
1.262,-11.51725923,-13.666855
1.263,-11.50827856,-13.682076
1.264,-11.49932783,-13.692727
1.265,-11.49040695,-13.642929
1.266,-11.48151586,-13.658851
1.267,-11.47265448,-13.673338
1.268,-11.46382274,-13.656242
1.269,-11.45502057,-13.629751
1.27,-11.44624788,-13.61038
1.271,-11.43750461,-13.602821
1.272,-11.42879068,-13.649929
1.273,-11.42010602,-13.614182
1.274,-11.41145055,-13.585942
1.275,-11.40282421,-13.580172
1.276,-11.39422691,-13.595178
1.277,-11.38565858,-13.59822
1.278,-11.37711915,-13.568768
1.279,-11.36860854,-13.538497
1.28,-11.36012668,-13.542443
1.281,-11.3516735,-13.56341
1.282,-11.34324892,-13.506834
1.283,-11.33485287,-13.526356
1.284,-11.32648526,-13.525318
1.285,-11.31814604,-13.54048
1.286,-11.30983513,-13.529133
1.287,-11.30155244,-13.521846
1.288,-11.29329791,-13.47384
1.289,-11.28507146,-13.49206
1.29,-11.27687303,-13.494569
1.291,-11.26870252,-13.471014
1.292,-11.26055988,-13.462982
1.293,-11.25244502,-13.421238
1.294,-11.24435788,-13.435986
1.295,-11.23629837,-13.418966
1.296,-11.22826643,-13.394904
1.297,-11.22026198,-13.388336
1.298,-11.21228494,-13.3821
1.299,-11.20433525,-13.404503
1.3,-11.19641282,-13.386055
1.301,-11.18851759,-13.372147
1.302,-11.18064948,-13.39071
1.303,-11.17280842,-13.373454
1.304,-11.16499433,-13.321137
1.305,-11.15720715,-13.366225
1.306,-11.14944678,-13.295192
1.307,-11.14171317,-13.307483
1.308,-11.13400624,-13.344374
1.309,-11.12632591,-13.344284
1.31,-11.11867212,-13.287576
1.311,-11.11104478,-13.308559
1.312,-11.10344383,-13.263563
1.313,-11.09586918,-13.285396
1.314,-11.08832078,-13.273023
1.315,-11.08079854,-13.282136
1.316,-11.07330239,-13.242387
1.317,-11.06583226,-13.244028
1.318,-11.05838808,-13.257827
1.319,-11.05096976,-13.213449
1.32,-11.04357725,-13.205242
1.321,-11.03621046,-13.221771
1.322,-11.02886932,-13.194923
1.323,-11.02155376,-13.209203
1.324,-11.01426371,-13.20498
1.325,-11.0069991,-13.206952
1.326,-10.99975985,-13.193441
1.327,-10.99254588,-13.221312
1.328,-10.98535713,-13.161434
1.329,-10.97819353,-13.180181
