frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
1000000000.0000000000, -12.9132548156, -3.8603883925, -3.8603875157, -3.8603875157, -21.1866240742, -10.6440507447, -3.8603875157, -10.6440498807, -21.1866290333
1001000000.0000000000, -12.9174814945, -3.8600429122, -3.8600429122, -3.8600420353, -21.2015478599, -10.6521696218, -3.8600429122, -10.6521713512, -21.2015472391
1002000000.0000000000, -12.9217143006, -3.8596974438, -3.8596965670, -3.8596974438, -21.2164777855, -10.6602916343, -3.8596974438, -10.6602907689, -21.2164802725
1003000000.0000000000, -12.9259532410, -3.8593519873, -3.8593511105, -3.8593502337, -21.2314157133, -10.6684115877, -3.8593519873, -10.6684150521, -21.2314188266
1004000000.0000000000, -12.9301994087, -3.8590065427, -3.8590065427, -3.8590039125, -21.2463603985, -10.6765372730, -3.8590047892, -10.6765390067, -21.2463603985
1005000000.0000000000, -12.9344484666, -3.8586611101, -3.8586602334, -3.8586593567, -21.2613062173, -10.6846608912, -3.8586584799, -10.6846617587, -21.2613068418
1006000000.0000000000, -12.9387080255, -3.8583148127, -3.8583130593, -3.8583139360, -21.2762669017, -10.6927893776, -3.8583139360, -10.6927885094, -21.2762650253
1007000000.0000000000, -12.9429683122, -3.8579667740, -3.8579658974, -3.8579650207, -21.2912293303, -10.7009123116, -3.8579641441, -10.7009149184, -21.2912255719
1008000000.0000000000, -12.9472369414, -3.8576196241, -3.8576196241, -3.8576178708, -21.3062016331, -10.7090418492, -3.8576187474, -10.7090401099, -21.3062041424
1009000000.0000000000, -12.9515106582, -3.8572733627, -3.8572724862, -3.8572716096, -21.3211775378, -10.7171684273, -3.8572724862, -10.7171701680, -21.3211800509
1010000000.0000000000, -12.9557916459, -3.8569253603, -3.8569253603, -3.8569244837, -21.3361633194, -10.7252998728, -3.8569236072, -10.7252990017, -21.3361664655
1011000000.0000000000, -12.9600788237, -3.8565791230, -3.8565791230, -3.8565773699, -21.3511583584, -10.7334283463, -3.8565773699, -10.7334283463, -21.3511602490
1012000000.0000000000, -12.9643721989, -3.8562320212, -3.8562320212, -3.8562311447, -21.3661576139, -10.7415634324, -3.8562311447, -10.7415625600, -21.3661563517
1013000000.0000000000, -12.9686685082, -3.8558849315, -3.8558840550, -3.8558840550, -21.3811604390, -10.7496946638, -3.8558840550, -10.7496955369, -21.3811604390
1014000000.0000000000, -12.9729742983, -3.8555378538, -3.8555378538, -3.8555369773, -21.3961788432, -10.7578290166, -3.8555369773, -10.7578290166, -21.3961807423
1015000000.0000000000, -12.9772841253, -3.8551890353, -3.8551890353, -3.8551881589, -21.4112020855, -10.7659621202, -3.8551890353, -10.7659629948, -21.4112014515
1016000000.0000000000, -12.9815979936, -3.8548393526, -3.8548393526, -3.8548384762, -21.4262238045, -10.7740983426, -3.8548375998, -10.7740974673, -21.4262250744
1017000000.0000000000, -12.9859213677, -3.8544914348, -3.8544923112, -3.8544914348, -21.4412592205, -10.7822376862, -3.8544914348, -10.7822368102, -21.4412566770
