Freq(Hz),S11 Phase(°),S21 Phase(°)
1275000000,-155.73225,128.39874
1276000000,-155.89537,128.24875
1277000000,-156.06802,128.07039
1278000000,-156.17043,127.90038
1279000000,-156.15421,127.7402
1280000000,-155.89577,127.61897
1281000000,-156.63271,127.3336
1282000000,-156.46832,127.47815
1283000000,-156.82486,126.96301
1284000000,-156.69707,126.89542
1285000000,-157.07729,126.35896
1286000000,-157.09097,126.45938
1287000000,-157.40141,126.16276
1288000000,-157.58705,125.93656
1289000000,-157.62778,125.74194
1290000000,-157.74069,125.68073
1291000000,-157.71777,125.51521
1292000000,-158.19202,125.17548
1293000000,-158.03001,125.08455
1294000000,-157.94998,124.85679
1295000000,-158.08281,124.77697
1296000000,-158.38141,124.43502
1297000000,-157.8429,124.20767
1298000000,-158.36545,124.28837
1299000000,-158.8307,123.84331
1300000000,-158.70419,123.69866
1301000000,-158.88403,123.55602
1302000000,-159.10417,123.50564
1303000000,-159.17284,123.22887
1304000000,-159.36209,122.97344
1305000000,-158.88338,122.94099
1306000000,-159.76323,122.53159
1307000000,-159.69009,122.4327
1308000000,-159.53903,122.17549
1309000000,-159.74339,121.99847
1310000000,-159.59972,121.89598
1311000000,-159.86972,121.49034
1312000000,-160.04161,121.4726
1313000000,-159.92052,121.38393
1314000000,-160.15128,121.11803
1315000000,-160.66751,120.95621
1316000000,-160.3038,120.60635
1317000000,-160.43712,120.65663
1318000000,-160.52,120.26978
1319000000,-160.86589,120.04696
1320000000,-161.0631,119.88649
1321000000,-161.38412,119.56405
1322000000,-161.11679,119.52136
1323000000,-161.57828,119.23186
1324000000,-161.40042,119.11186
1325000000,-161.6709,118.80288
1326000000,-161.69054,118.69296
1327000000,-162.0799,118.53565
1328000000,-161.85771,118.30611
1329000000,-161.77394,118.18412
1330000000,-162.16985,117.99403
1331000000,-162.25589,117.69672
1332000000,-162.01688,117.63713
1333000000,-162.32072,117.33384
1334000000,-162.84106,117.14119
1335000000,-162.78558,116.83757
1336000000,-162.78882,116.85841
1337000000,-162.75952,116.49449
1338000000,-162.74779,116.44419
1339000000,-163.04018,116.12057
1340000000,-163.14769,115.82227
1341000000,-163.2005,115.64801
1342000000,-163.37354,115.37122
1343000000,-163.4458,115.2953
1344000000,-163.2171,115.24118
1345000000,-163.36346,115.05597
1346000000,-163.83083,114.63436
1347000000,-163.51463,114.78044
1348000000,-163.94171,114.43914
1349000000,-163.85513,114.20413
1350000000,-163.73547,114.07972
1351000000,-164.11729,113.78848
1352000000,-164.35997,113.44532
1353000000,-164.07672,113.43849
1354000000,-164.30212,113.23725
1355000000,-164.32256,113.08842
1356000000,-164.47418,112.84077
1357000000,-164.20226,112.73988
1358000000,-164.42841,112.44608
1359000000,-164.67258,112.1703
1360000000,-164.72906,112.01526
1361000000,-164.55853,111.7528
1362000000,-164.79846,111.61028
1363000000,-164.70911,111.65754
1364000000,-165.20416,111.19721
1365000000,-164.5946,111.09904
1366000000,-165.26094,110.81399
1367000000,-165.10728,110.77891
1368000000,-165.64958,110.28096
1369000000,-165.30043,110.19031
1370000000,-165.11557,109.94752
1371000000,-165.22446,109.98423
1372000000,-165.46062,109.79315
1373000000,-166.0307,109.33484
1374000000,-165.51079,109.27385
1375000000,-165.23119,109.25451
1376000000,-165.48865,108.96708
1377000000,-166.12402,108.7673
1378000000,-165.9825,108.54849
1379000000,-165.89598,108.22463
1380000000,-165.5907,108.35438
1381000000,-165.96251,107.8884
1382000000,-166.32965,107.74919
1383000000,-166.75691,107.45868
1384000000,-166.31778,107.30884
1385000000,-166.28246,107.18809
1386000000,-166.62083,106.93351
1387000000,-166.32809,106.56371
1388000000,-166.81998,106.39838
1389000000,-166.78247,106.30737
1390000000,-165.95364,106.03464
1391000000,-166.60185,105.69727
1392000000,-166.56523,105.6267
1393000000,-166.77197,105.30707
1394000000,-166.50075,105.33617
1395000000,-166.35823,105.01291
1396000000,-166.65932,104.99119
1397000000,-166.58791,104.62316
1398000000,-166.67564,104.45398
1399000000,-166.83421,104.12589
1400000000,-166.64856,104.04682
1401000000,-166.76006,103.95692
1402000000,-166.49146,103.66717
1403000000,-166.86053,103.55074
1404000000,-166.75502,103.36487
1405000000,-166.96704,103.01023
1406000000,-166.81914,103.02042
1407000000,-167.18433,102.56344
1408000000,-166.85609,102.43983
1409000000,-167.06604,102.09636
1410000000,-166.69296,102.20337
1411000000,-166.84514,101.77704
1412000000,-166.56187,101.64032
1413000000,-167.21852,101.4241
1414000000,-166.90166,101.23523
1415000000,-166.77541,100.99722
1416000000,-166.68037,100.88953
1417000000,-166.70898,100.64794
1418000000,-167.08777,100.47598
1419000000,-166.79172,100.17886
1420000000,-166.84438,99.912788
1421000000,-166.51677,99.826599
1422000000,-166.91412,99.707581
1423000000,-166.90419,99.415146
1424000000,-166.59698,99.34053
1425000000,-166.63684,99.101364
1426000000,-166.78175,98.898125
1427000000,-166.78227,98.711159
1428000000,-166.7222,98.381973
1429000000,-166.6131,98.434967
1430000000,-166.42697,97.905334
1431000000,-166.18015,97.883965
1432000000,-166.75854,97.60511
1433000000,-166.36081,97.320869
1434000000,-166.7086,97.066078
1435000000,-166.36584,96.906639
1436000000,-166.5578,96.574341
1437000000,-165.9675,96.752769
1438000000,-166.16609,96.410606
1439000000,-166.27026,96.243347
1440000000,-165.77306,95.990005
1441000000,-165.9243,95.653526
1442000000,-165.90942,95.56797
1443000000,-166.02191,95.27903
1444000000,-166.34435,95.092522
1445000000,-165.16286,95.025322
1446000000,-165.76833,94.738869
1447000000,-165.87317,94.417824
1448000000,-165.43301,94.281265
1449000000,-165.32884,94.22364
1450000000,-164.43187,94.020767
1451000000,-165.08241,93.6269
1452000000,-164.73555,93.503036
1453000000,-164.76563,93.441948
1454000000,-164.79242,93.190086
1455000000,-164.8149,92.826431
1456000000,-164.21854,92.738113
1457000000,-163.84666,92.583344
1458000000,-163.82535,92.303734
1459000000,-163.68021,91.968063
1460000000,-164.12666,91.75515
1461000000,-163.61057,91.435822
1462000000,-163.49767,91.31913
1463000000,-163.07925,91.163277
1464000000,-163.24954,91.056992
1465000000,-162.63474,90.822113
1466000000,-162.50386,90.734314
1467000000,-162.40111,90.431183
1468000000,-162.04224,90.306
1469000000,-161.95723,90.027206
1470000000,-162.27151,89.822548
1471000000,-162.24052,89.434654
1472000000,-161.85632,89.234848
1473000000,-161.4942,89.147209
1474000000,-161.48259,88.893364
1475000000,-161.2177,88.632584
1476000000,-161.05769,88.499893
1477000000,-160.4711,88.352875
1478000000,-159.41222,88.123993
1479000000,-159.63029,87.790276
1480000000,-159.96774,87.531815
1481000000,-159.19754,87.552338
1482000000,-159.15596,87.195755
1483000000,-159.09254,87.27195
1484000000,-158.25256,86.771683
1485000000,-158.63652,86.554176
1486000000,-158.13135,86.422272
1487000000,-157.85211,86.221031
1488000000,-157.74997,85.87011
1489000000,-157.33795,85.822166
1490000000,-157.48593,85.449196
1491000000,-156.78044,85.231758
1492000000,-156.33237,85.342117
1493000000,-155.79294,84.82814
1494000000,-155.37306,84.861076
1495000000,-155.43135,84.599861
1496000000,-154.97523,84.317001
1497000000,-154.79897,84.1446
1498000000,-154.50806,83.993263
1499000000,-153.35265,83.70401
1500000000,-153.57051,83.492584
1501000000,-153.01044,83.235199
1502000000,-152.40041,83.22863
1503000000,-152.2115,82.795883
1504000000,-152.37132,82.620956
1505000000,-151.57416,82.609543
1506000000,-151.42297,82.252037
1507000000,-151.11267,82.231895
1508000000,-150.90233,81.779549
1509000000,-149.88594,81.545464
1510000000,-149.92981,81.407707
1511000000,-149.38651,81.119354
1512000000,-148.8299,81.038315
1513000000,-148.02905,80.710793
1514000000,-148.19904,80.429604
1515000000,-147.37421,80.356026
1516000000,-146.57588,80.13343
1517000000,-146.78351,79.753677
1518000000,-145.78357,79.736618
1519000000,-145.60689,79.334335
1520000000,-144.80321,79.311188
1521000000,-143.54982,79.10157
1522000000,-144.15979,78.662659
1523000000,-143.32446,78.576042
1524000000,-142.7941,78.247139
1525000000,-142.21135,78.084572
1526000000,-141.75233,78.025414
1527000000,-140.93417,77.776062
1528000000,-141.14989,77.458542
1529000000,-139.65996,77.334969
1530000000,-139.8172,77.031624
1531000000,-139.22345,77.07682
1532000000,-138.81274,76.846901
1533000000,-138.91043,76.389236
1534000000,-137.83705,76.292343
1535000000,-137.07343,75.968124
1536000000,-136.38615,75.749924
1537000000,-136.49243,75.42955
1538000000,-135.88741,75.326561
1539000000,-134.55469,75.259926
1540000000,-134.77721,74.908684
1541000000,-134.11671,74.656715
1542000000,-133.97305,74.640892
1543000000,-133.23434,74.356483
1544000000,-132.701,74.033424
1545000000,-132.12436,73.735962
1546000000,-131.88658,73.746315
1547000000,-130.94962,73.462761
1548000000,-130.62947,73.165817
1549000000,-129.89662,73.002304
1550000000,-129.43358,72.898178
1551000000,-128.81482,72.535049
1552000000,-128.79961,72.299988
1553000000,-128.11617,72.168694
1554000000,-127.93473,71.941177
1555000000,-126.79772,71.753319
1556000000,-126.73805,71.646683
1557000000,-126.12663,71.454361
1558000000,-125.17834,71.108711
1559000000,-125.0865,70.770607
1560000000,-124.8805,70.546379
1561000000,-123.84507,70.40345
1562000000,-123.91373,70.066345
