!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:50:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,2.5774543,85.181282
1001000000,2.259232,85.785629
1002000000,2.5104046,86.234512
1003000000,2.4567692,86.320335
1004000000,2.3277934,86.769066
1005000000,2.5930681,87.230209
1006000000,2.8968253,87.372849
1007000000,2.3440614,87.746933
1008000000,2.3860135,88.071663
1009000000,2.5264626,88.791519
1010000000,2.7745337,89.360031
1011000000,2.8997483,89.486237
1012000000,2.9251914,89.798492
1013000000,2.5919898,90.415123
1014000000,2.9509332,90.873177
1015000000,2.937726,91.216301
1016000000,2.8669403,91.285446
1017000000,3.1063409,91.919418
1018000000,2.8580773,92.506126
1019000000,3.2297437,92.418251
1020000000,3.208847,93.089195
1021000000,3.2881281,93.44709
1022000000,3.237962,93.939369
1023000000,3.2571249,94.263878
1024000000,3.3635902,95.145676
1025000000,3.3648636,95.224754
1026000000,3.5540056,95.483688
1027000000,3.3211515,95.97039
1028000000,3.2979887,96.46862
1029000000,3.4679301,96.967552
1030000000,3.6015549,97.608368
1031000000,3.5847571,98.066154
1032000000,3.7015944,97.892921
1033000000,3.965203,98.587097
1034000000,3.4777145,99.374779
1035000000,4.2815509,99.726433
1036000000,3.5965576,100.57347
1037000000,3.826987,100.65475
1038000000,3.5232391,100.97063
1039000000,3.7616282,101.46232
1040000000,3.7476015,102.01447
1041000000,3.9279416,102.55288
1042000000,3.6260703,103.3914
1043000000,4.2810569,103.94621
1044000000,3.9785638,104.39749
1045000000,3.5191813,104.26553
1046000000,3.517319,105.11877
1047000000,4.525857,106.05125
1048000000,4.395885,106.39413
1049000000,4.5455885,107.09886
1050000000,4.4871984,107.23653
1051000000,4.6419806,107.7759
1052000000,4.9384604,107.96309
1053000000,4.4242163,108.62109
1054000000,4.526051,109.20872
1055000000,4.0427709,109.84962
1056000000,5.0027447,111.28065
1057000000,4.4471312,111.26517
1058000000,4.4940534,111.59814
1059000000,4.788271,112.11866
1060000000,4.7457385,112.97578
1061000000,5.0527802,113.75877
1062000000,5.0017004,113.92023
1063000000,4.4477453,114.53232
1064000000,5.2060151,114.79003
1065000000,5.2688618,115.71218
1066000000,5.5112128,116.73817
1067000000,5.6069112,116.77553
1068000000,5.5100951,117.80027
1069000000,5.3819871,118.09837
1070000000,5.683691,118.53454
1071000000,6.0687084,119.76013
1072000000,5.3964529,120.19919
1073000000,6.0536852,121.03235
1074000000,6.1028361,121.93872
1075000000,6.362359,122.43584
1076000000,6.2167377,123.39618
1077000000,6.2692008,123.80383
1078000000,6.0435562,125.11182
1079000000,6.0467062,125.37497
1080000000,6.4617462,125.37361
1081000000,6.6196151,126.97889
1082000000,6.2640719,127.05886
1083000000,6.5688906,128.59108
1084000000,6.7574224,128.04123
1085000000,6.994617,129.54715
1086000000,6.2923522,130.32732
1087000000,7.0122509,130.58942
1088000000,7.1251926,131.70377
1089000000,6.2712216,132.93808
1090000000,6.8265548,133.44244
1091000000,6.9348054,134.61914
1092000000,7.7396045,134.89388
1093000000,6.7511826,135.245
