Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U),,VSWR_HFSS
1000000000,4.9232502,88.925537,42.354843,,320.7702345
1001000000,4.8232536,89.778831,43.862541,,321.369638
1002000000,4.9432778,89.968925,42.939457,,321.9683445
1003000000,5.0335722,90.019905,42.208416,,322.5663445
1004000000,5.1195745,90.591187,41.905308,,323.1636289
1005000000,5.1320233,91.197357,42.233723,,323.7601883
1006000000,4.8622093,91.204659,44.574287,,324.3560133
1007000000,5.2637115,91.797714,41.598793,,324.9510946
1008000000,5.3877211,92.274078,40.970798,,325.5454229
1009000000,5.1186128,92.518631,43.292923,,326.138989
1010000000,5.3645196,92.468781,41.281456,,326.7317835
1011000000,5.628109,93.81678,40.248955,,327.323797
1012000000,5.2967343,94.141579,42.986973,,327.9150203
1013000000,5.5633416,94.715027,41.324646,,328.5054441
1014000000,5.7006774,94.929688,40.476242,,329.0950591
1015000000,5.6275339,95.258804,41.222626,,329.683856
1016000000,5.5700088,95.663078,41.923832,,330.2718255
1017000000,5.4590292,95.779137,42.854038,,330.8589583
1018000000,5.6896863,96.212761,41.416702,,331.4452452
1019000000,5.5373278,96.832161,42.983509,,332.0306769
1020000000,5.8013492,97.076508,41.19891,,332.6152441
1021000000,5.6627975,97.75563,42.670048,,333.1989375
1022000000,5.8536758,98.399437,41.716347,,333.781748
1023000000,5.9695473,98.871925,41.22274,,334.3636663
1024000000,5.943027,99.624901,41.909122,,334.9446831
1025000000,6.2519155,99.877068,40.00919,,335.5247892
1026000000,6.075458,100.29742,41.442635,,336.1039755
1027000000,5.8136492,100.60327,43.511864,,336.6822328
1028000000,6.5639892,101.00462,38.807381,,337.2595518
1029000000,6.2805295,102.16355,41.299816,,337.8359233
1030000000,6.3542337,102.06969,40.762756,,338.4113382
1031000000,6.7509875,102.66196,38.739063,,338.9857874
1032000000,6.3390241,103.52648,41.805588,,339.5592617
1033000000,6.6064448,103.61985,40.180462,,340.1317519
1034000000,6.4871578,104.37056,41.397041,,340.703249
1035000000,6.5108724,104.45895,41.303772,,341.2737438
1036000000,6.6915326,105.12702,40.613209,,341.8432273
1037000000,6.7797465,105.82037,40.519352,,342.4116904
1038000000,6.2419543,106.12135,44.196552,,342.979124
1039000000,5.8787131,106.59633,47.259033,,343.5455191
