Freq,Simulated,Measured
1.189,-1.077189874,-1.2485709
1.19,-1.078250305,-1.2734834
1.191,-1.079309317,-1.2325186
1.192,-1.080366902,-1.2819867
1.193,-1.08142305,-1.288337
1.194,-1.082477754,-1.2658826
1.195,-1.083531004,-1.2710904
1.196,-1.084582792,-1.3037173
1.197,-1.08563311,-1.283607
1.198,-1.086681949,-1.2646062
1.199,-1.0877293,-1.2630851
1.2,-1.088775156,-1.2763902
1.201,-1.089819507,-1.2783526
1.202,-1.090862346,-1.2827897
1.203,-1.091903664,-1.2631824
1.204,-1.092943453,-1.2754314
1.205,-1.093981705,-1.2749592
1.206,-1.095018411,-1.2843678
1.207,-1.096053564,-1.2844719
1.208,-1.097087155,-1.2963499
1.209,-1.098119176,-1.2882127
1.21,-1.09914962,-1.2981827
1.211,-1.100178478,-1.2842635
1.212,-1.101205741,-1.2661908
1.213,-1.102231403,-1.2962371
1.214,-1.103255456,-1.2872752
1.215,-1.104277891,-1.3029573
1.216,-1.105298701,-1.3112307
1.217,-1.106317877,-1.2869807
1.218,-1.107335413,-1.2455375
1.219,-1.1083513,-1.2813498
1.22,-1.109365532,-1.3152791
1.221,-1.110378099,-1.2854224
1.222,-1.111388995,-1.2912384
1.223,-1.112398212,-1.2630101
1.224,-1.113405743,-1.2864572
1.225,-1.11441158,-1.2940512
1.226,-1.115415716,-1.3018856
1.227,-1.116418143,-1.2994024
1.228,-1.117418854,-1.299477
1.229,-1.118417841,-1.2932129
1.23,-1.119415098,-1.2610047
1.231,-1.120410617,-1.2768418
1.232,-1.121404391,-1.3021808
1.233,-1.122396413,-1.3049189
1.234,-1.123386676,-1.2861327
1.235,-1.124375173,-1.3073511
1.236,-1.125361896,-1.2956632
1.237,-1.126346838,-1.2850507
1.238,-1.127329994,-1.2745665
1.239,-1.128311355,-1.3112514
1.24,-1.129290915,-1.2931608
1.241,-1.130268668,-1.3097191
1.242,-1.131244605,-1.2707603
1.243,-1.132218722,-1.3200195
1.244,-1.13319101,-1.3093096
1.245,-1.134161463,-1.3053377
1.246,-1.135130076,-1.2753687
1.247,-1.13609684,-1.3224862
1.248,-1.137061749,-1.3017379
1.249,-1.138024798,-1.2912812
1.25,-1.13898598,-1.3042316
1.251,-1.139945287,-1.2939482
1.252,-1.140902715,-1.316956
1.253,-1.141858256,-1.279169
1.254,-1.142811904,-1.3273528
1.255,-1.143763653,-1.2993442
1.256,-1.144713497,-1.2990547
1.257,-1.14566143,-1.297158
1.258,-1.146607445,-1.292183
1.259,-1.147551537,-1.3060735
1.26,-1.148493699,-1.3017615
1.261,-1.149433926,-1.3147354
1.262,-1.150372211,-1.3070691
1.263,-1.151308548,-1.2812095
1.264,-1.152242933,-1.3107785
1.265,-1.153175359,-1.2755944
1.266,-1.154105819,-1.2759556
1.267,-1.15503431,-1.3126726
1.268,-1.155960824,-1.2974036
1.269,-1.156885356,-1.283039
1.27,-1.157807901,-1.2888858
1.271,-1.158728452,-1.2957342
1.272,-1.159647006,-1.2934068
1.273,-1.160563555,-1.3109043
1.274,-1.161478095,-1.2671342
1.275,-1.16239062,-1.3289212
1.276,-1.163301125,-1.290808
1.277,-1.164209605,-1.3259763
1.278,-1.165116054,-1.2990839
1.279,-1.166020467,-1.2727218
1.28,-1.166922839,-1.3044934
1.281,-1.167823165,-1.297497
1.282,-1.16872144,-1.3063915
1.283,-1.169617658,-1.3241135
1.284,-1.170511816,-1.3318194
1.285,-1.171403907,-1.3118473
