Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1152000000,24.327757,189.99957,32.188656
1153000000,25.318787,192.24989,31.645325
1154000000,25.588009,194.13501,31.892309
1155000000,27.075151,197.22903,31.090361
1156000000,28.227203,199.54433,30.515572
1157000000,27.016861,202.03789,32.577991
1158000000,28.612694,203.80991,31.322803
1159000000,29.694641,207.31184,31.192411
1160000000,31.23951,209.50169,30.29196
1161000000,30.099726,213.47522,32.512844
1162000000,32.652096,216.80315,30.942577
1163000000,35.285538,219.43143,29.380405
1164000000,34.829609,223.37863,30.752275
1165000000,35.855621,225.93634,30.552631
1166000000,37.161659,230.58014,30.670105
1167000000,38.447346,235.62553,30.917822
1168000000,41.618793,238.01523,29.223413
1169000000,41.387142,241.50195,30.186932
1170000000,46.267338,247.31459,28.410427
1171000000,43.487713,251.30847,31.0327
1172000000,47.268284,254.94435,29.470381
1173000000,49.968006,259.83017,28.98748
1174000000,51.154804,263.03403,29.016068
1175000000,54.094421,267.24808,28.377205
1176000000,57.540386,273.31955,27.949598
1177000000,58.638393,278.31418,28.409388
1178000000,61.279243,284.50464,28.424059
1179000000,65.583023,292.36453,28.105286
1180000000,64.707031,295.31927,28.98877
1181000000,70.589706,300.45221,27.660358
1182000000,78.292229,308.38599,26.460775
1183000000,78.064827,313.01263,27.266537
1184000000,83.873718,319.1149,26.518673
1185000000,88.023819,330.11343,27.051857
1186000000,92.779205,333.56741,26.341911
1187000000,96.341339,343.69836,26.931604
1188000000,99.968559,355.65329,27.769327
1189000000,108.49501,357.60568,26.166302
1190000000,118.4771,370.35431,25.907198
1191000000,118.23022,379.82211,27.154736
1192000000,131.51266,385.46661,25.567558
1193000000,133.41988,397.28168,26.665205
1194000000,145.27563,411.85046,26.563625
1195000000,154.48863,416.72058,25.856144
1196000000,167.323,428.56531,25.559893
1197000000,182.29678,438.0838,24.935598
1198000000,197.15479,456.61353,25.307671
1199000000,207.35559,468.60205,25.528906
1200000000,224.55084,480.96823,25.27796
1201000000,246.84358,484.42773,24.111633
1202000000,255.38452,511.83337,25.780682
1203000000,290.13,512.64624,24.049799
1204000000,316.8728,540.55023,24.89747
1205000000,353.57904,544.50073,23.941507
1206000000,373.59875,558.60583,24.269184
1207000000,401.22305,583.78613,25.097603
1208000000,444.99332,585.65009,24.386555
1209000000,485.48331,584.81226,23.86002
1210000000,542.76276,594.87012,23.945215
1211000000,585.85742,619.73761,24.873833
1212000000,658.54041,582.35034,23.503689
1213000000,718.73328,561.53027,23.175303
1214000000,803.84454,556.84851,23.812027
1215000000,842.50842,545.50427,23.931751
1216000000,954.64917,448.59949,23.318504
1217000000,982.05817,412.77502,23.118744
1218000000,1042.5836,314.42264,22.752151
1219000000,1100.8093,207.81291,22.802382
1220000000,1118.9736,136.50797,22.713192
1221000000,1164.5732,28.757086,23.305695
1222000000,1123.3204,-84.183159,22.592834
