!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB)
1133000000,-0.84165967,120.17266,-12.901553
1134000000,-0.84651244,119.98738,-12.870543
1135000000,-0.83669108,119.80458,-12.781857
1136000000,-0.86485678,119.64582,-12.779638
1137000000,-0.86471808,119.24622,-12.653089
1138000000,-0.8837508,118.9606,-12.637401
1139000000,-0.87559038,118.69811,-12.583626
1140000000,-0.90011817,118.57938,-12.53265
1141000000,-0.91267908,118.14948,-12.48457
1142000000,-0.91824722,118.0141,-12.391547
1143000000,-0.91701263,117.56242,-12.310122
1144000000,-0.94559598,117.31794,-12.275429
1145000000,-0.92091942,116.88392,-12.209682
1146000000,-0.96543825,116.70601,-12.149313
1147000000,-0.96790749,116.64499,-12.109914
1148000000,-0.94049037,116.12,-11.980862
1149000000,-0.98549914,115.97667,-11.957675
1150000000,-0.99906015,115.32511,-11.912735
1151000000,-1.0195266,115.25476,-11.86575
1152000000,-1.0102289,114.92876,-11.803448
1153000000,-1.003333,114.82639,-11.694023
1154000000,-1.0052236,114.51485,-11.618909
1155000000,-1.0604532,114.13261,-11.641764
1156000000,-1.0515007,113.73398,-11.505654
1157000000,-1.0490485,113.59374,-11.454088
1158000000,-1.0728183,113.08631,-11.414526
1159000000,-1.0778772,112.76788,-11.316209
1160000000,-1.0860776,112.63338,-11.297596
1161000000,-1.1171986,112.25269,-11.209464
1162000000,-1.1491226,112.04907,-11.150292
1163000000,-1.1521606,111.59747,-11.108593
1164000000,-1.1334004,111.34035,-11.030932
1165000000,-1.1686239,111.14015,-10.954149
1166000000,-1.1709628,110.72648,-10.834164
1167000000,-1.2153002,110.35112,-10.821088
1168000000,-1.2317108,110.13819,-10.751437
1169000000,-1.2065037,109.85075,-10.68138
1170000000,-1.2660248,109.58313,-10.637609
1171000000,-1.2348132,109.32777,-10.551684
1172000000,-1.2522649,108.8938,-10.487601
1173000000,-1.2962067,108.52808,-10.415657
1174000000,-1.3365496,108.32507,-10.386798
1175000000,-1.3230613,107.9308,-10.299549
1176000000,-1.3496706,107.62582,-10.230888
1177000000,-1.3463635,107.24577,-10.160186
1178000000,-1.3655982,106.99174,-10.099833
1179000000,-1.3772506,106.56642,-9.9771872
1180000000,-1.3877597,106.47485,-9.9290524
1181000000,-1.4307235,106.01136,-9.9169884
1182000000,-1.4433253,105.56088,-9.7837591
1183000000,-1.4660263,105.47347,-9.7244577
1184000000,-1.4933927,105.06857,-9.6964645
1185000000,-1.5124966,104.90921,-9.5946913
1186000000,-1.5136639,104.26671,-9.5409336
1187000000,-1.5510856,104.12964,-9.4695034
1188000000,-1.5856091,103.77287,-9.4080191
1189000000,-1.6155539,103.26819,-9.3612452
1190000000,-1.6415441,103.21008,-9.2914906
1191000000,-1.6596619,102.70483,-9.1790905
1192000000,-1.7142692,102.43445,-9.1202879
1193000000,-1.7128283,102.01671,-9.0606689
1194000000,-1.7543762,101.67199,-9.0185843
1195000000,-1.7477698,101.47685,-8.9341965
1196000000,-1.7843742,101.08521,-8.8393641
1197000000,-1.8295579,100.92416,-8.8175621
1198000000,-1.8397025,100.55334,-8.7650309
1199000000,-1.847849,100.33526,-8.6717052
1200000000,-1.9111841,99.769684,-8.6336069
1201000000,-1.9232714,99.440384,-8.5005989
1202000000,-1.9439126,99.195946,-8.4799747
1203000000,-1.9803882,98.86097,-8.3969727
1204000000,-2.0221848,98.429779,-8.3555374
1205000000,-2.0472031,98.127586,-8.2729826
1206000000,-2.1048326,97.749474,-8.2242661
1207000000,-2.1236403,97.438377,-8.1173115
1208000000,-2.158232,97.128708,-8.0650568
1209000000,-2.1911967,96.815079,-8.0055599
1210000000,-2.230613,96.581306,-7.951643
1211000000,-2.2924449,95.927498,-7.8744974
1212000000,-2.3114448,95.822456,-7.7861443
1213000000,-2.3302329,95.540161,-7.720541
1214000000,-2.3988771,95.038673,-7.6815896
1215000000,-2.4304428,94.778999,-7.5785813
1216000000,-2.466465,94.359718,-7.5077624
1217000000,-2.4798889,93.977654,-7.4148984
1218000000,-2.5630977,93.63031,-7.3825727
1219000000,-2.6145072,93.229187,-7.2862091
1220000000,-2.6534281,93.020775,-7.2054529
1221000000,-2.7078872,92.594276,-7.1433377
1222000000,-2.7697802,92.25663,-7.0709934
1223000000,-2.769639,92.026962,-6.9916878
1224000000,-2.8656797,91.632278,-6.9539948
1225000000,-2.9162803,91.448608,-6.8761463
1226000000,-2.9617517,90.752037,-6.8103113
1227000000,-3.0373006,90.519333,-6.7767138
1228000000,-3.078366,90.448814,-6.6834059
1229000000,-3.163197,90.138474,-6.6594682
1230000000,-3.2166033,89.611168,-6.5731502
1231000000,-3.2536302,89.294655,-6.4789062
1232000000,-3.3369586,89.082024,-6.4355612
1233000000,-3.4199245,88.974709,-6.3942409
1234000000,-3.4808354,88.495911,-6.324903
1235000000,-3.5382688,88.234207,-6.2377362
1236000000,-3.6178396,88.18679,-6.1827555
1237000000,-3.728833,87.596199,-6.1681185
1238000000,-3.7769372,87.580223,-6.0590973
1239000000,-3.8644934,87.152718,-6.0226493
1240000000,-3.9439726,86.93351,-5.9709325
1241000000,-4.0185237,86.667595,-5.9132562
1242000000,-4.114253,86.527328,-5.8622499
1243000000,-4.1868696,86.284241,-5.8264813
1244000000,-4.292336,86.010582,-5.7661605
1245000000,-4.3663578,85.73101,-5.6986027
1246000000,-4.4425721,85.658432,-5.6279268
1247000000,-4.5314455,85.612305,-5.5727744
1248000000,-4.649271,85.299484,-5.5695376
1249000000,-4.7401357,85.257919,-5.4739828
1250000000,-4.8495102,85.080421,-5.4550261
1251000000,-4.918479,84.899529,-5.3841181
1252000000,-5.04497,84.809189,-5.3377848
1253000000,-5.1489158,84.813843,-5.3013053
1254000000,-5.2476912,84.658989,-5.2619796
1255000000,-5.3523412,84.883728,-5.1817622
1256000000,-5.4556689,84.788345,-5.1522822
1257000000,-5.5840192,84.711121,-5.1101336
1258000000,-5.6899686,84.763145,-5.0396094
1259000000,-5.8056908,84.840157,-4.9906421
1260000000,-5.9566784,84.91877,-5.0070429
1261000000,-6.0432386,85.038567,-4.9104762
1262000000,-6.1676273,85.15493,-4.8984146
1263000000,-6.2869382,85.452003,-4.8304677
1264000000,-6.4481058,85.761253,-4.8227706
1265000000,-6.5521932,85.745209,-4.7764134
1266000000,-6.6839385,86.331284,-4.7634163
1267000000,-6.8325677,86.623306,-4.7606511
1268000000,-6.9282336,87.152641,-4.7036214
1269000000,-7.0573249,87.68129,-4.6615605
1270000000,-7.1744084,88.041946,-4.6633291
1271000000,-7.2879143,88.648003,-4.6269145
1272000000,-7.4182124,89.527786,-4.6337433
1273000000,-7.5214205,90.091034,-4.613297
1274000000,-7.6437178,90.705086,-4.5800686
1275000000,-7.738184,91.315689,-4.5582647
1276000000,-7.8229899,92.209335,-4.5344481
1277000000,-7.9308662,92.908928,-4.5598636
1278000000,-8.0109301,93.807617,-4.5243177
1279000000,-8.1064816,94.968063,-4.5569406
1280000000,-8.1483831,95.769814,-4.518786
1281000000,-8.2254095,96.658691,-4.5364032
1282000000,-8.3122358,97.836952,-4.5599847
