Freq(Hz),S11 Log Mag(dB)
1000000000,-5.2874308
1001000000,-5.3171759
1002000000,-5.3030806
1003000000,-5.3132071
1004000000,-5.3475323
1005000000,-5.3196044
1006000000,-5.3461051
1007000000,-5.3415923
1008000000,-5.3546457
1009000000,-5.3702078
1010000000,-5.3803959
1011000000,-5.3719831
1012000000,-5.4359045
1013000000,-5.3967099
1014000000,-5.4008646
1015000000,-5.4487448
1016000000,-5.4440131
1017000000,-5.4888592
1018000000,-5.4700451
1019000000,-5.5136719
1020000000,-5.484416
1021000000,-5.5205593
1022000000,-5.5256367
1023000000,-5.5262604
1024000000,-5.5547829
1025000000,-5.5472083
1026000000,-5.560616
1027000000,-5.5423069
1028000000,-5.5926299
1029000000,-5.5867929
1030000000,-5.6081891
1031000000,-5.6472716
1032000000,-5.6600418
1033000000,-5.6310492
1034000000,-5.6281214
1035000000,-5.6238132
1036000000,-5.6644597
1037000000,-5.6811638
1038000000,-5.7106938
1039000000,-5.6973701
1040000000,-5.7057781
1041000000,-5.71666
1042000000,-5.7109232
1043000000,-5.7255163
1044000000,-5.7572107
1045000000,-5.7586546
1046000000,-5.7643399
1047000000,-5.7704396
1048000000,-5.815907
1049000000,-5.8073826
1050000000,-5.829309
1051000000,-5.8337984
1052000000,-5.8366961
1053000000,-5.854506
1054000000,-5.8613682
1055000000,-5.8982682
1056000000,-5.9029732
1057000000,-5.898561
1058000000,-5.9243155
1059000000,-5.9293447
1060000000,-5.9256916
1061000000,-5.9637713
1062000000,-5.9376402
1063000000,-5.971272
1064000000,-5.9442453
1065000000,-5.9897575
1066000000,-5.995719
1067000000,-6.0256047
1068000000,-6.0264354
1069000000,-6.0240946
1070000000,-6.0443702
1071000000,-6.0754948
1072000000,-6.043119
1073000000,-6.0882931
1074000000,-6.0711803
1075000000,-6.1060591
1076000000,-6.0969234
1077000000,-6.1144567
1078000000,-6.1284366
1079000000,-6.1459241
1080000000,-6.1395736
1081000000,-6.1855574
1082000000,-6.207808
