Freq,HFSS,Milled,Measured
1,-0.531582785,-0.36177942,-0.49934444
1.001,-0.532001732,-0.37345523,-0.49623707
1.002,-0.532424611,-0.37455097,-0.48671123
1.003,-0.532851425,-0.34909025,-0.47181624
1.004,-0.533282177,-0.3861149,-0.51491052
1.005,-0.533716869,-0.37062863,-0.50552607
1.006,-0.534155505,-0.37610114,-0.48611811
1.007,-0.534598086,-0.35759079,-0.50027025
1.008,-0.535044615,-0.34320596,-0.47079739
1.009,-0.535495093,-0.37889829,-0.51910043
1.01,-0.535949523,-0.37027973,-0.50696838
1.011,-0.536407904,-0.37130934,-0.51528901
1.012,-0.53687024,-0.37736031,-0.50803554
1.013,-0.53733653,-0.3841112,-0.5137049
1.014,-0.537806776,-0.39095002,-0.51500261
1.015,-0.538280977,-0.37700677,-0.5010826
1.016,-0.538759134,-0.36128041,-0.51358318
1.017,-0.539241247,-0.41762406,-0.53415233
1.018,-0.539727316,-0.36095956,-0.50935602
1.019,-0.54021734,-0.36537915,-0.50132948
1.02,-0.540711319,-0.34939399,-0.49906203
1.021,-0.541209251,-0.37555367,-0.50945598
1.022,-0.541711135,-0.36069283,-0.53192008
1.023,-0.54221697,-0.38848257,-0.51022118
1.024,-0.542726755,-0.3614023,-0.51603311
1.025,-0.543240487,-0.37711176,-0.51914048
1.026,-0.543758164,-0.35103542,-0.50840461
1.027,-0.544279783,-0.35292897,-0.51992929
1.028,-0.544805343,-0.37504673,-0.51287824
1.029,-0.54533484,-0.3425301,-0.48824778
1.03,-0.545868271,-0.35910651,-0.50702423
1.031,-0.546405633,-0.38479239,-0.54711586
1.032,-0.546946922,-0.40632311,-0.53682494
1.033,-0.547492134,-0.39439756,-0.5563789
1.034,-0.548041266,-0.383757,-0.54391903
1.035,-0.548594312,-0.38931727,-0.53455687
1.036,-0.549151268,-0.38388479,-0.52569008
1.037,-0.54971213,-0.39203092,-0.55768794
1.038,-0.550276893,-0.40863863,-0.5443899
1.039,-0.55084555,-0.39687961,-0.54649615
1.04,-0.551418098,-0.40022627,-0.57175499
1.041,-0.551994529,-0.40070164,-0.51734418
1.042,-0.552574837,-0.37794253,-0.55178297
1.043,-0.553159017,-0.41497764,-0.55675381
1.044,-0.553747063,-0.41701147,-0.57130617
1.045,-0.554338966,-0.40145382,-0.57194793
1.046,-0.554934721,-0.39811307,-0.53270674
1.047,-0.555534319,-0.40769199,-0.56898808
1.048,-0.556137754,-0.38224474,-0.56798667
1.049,-0.556745018,-0.43107843,-0.59186149
1.05,-0.557356102,-0.40407261,-0.55390757
1.051,-0.557970999,-0.36774954,-0.55812573
1.052,-0.5585897,-0.41893339,-0.57587767
1.053,-0.559212196,-0.38638487,-0.55779254
1.054,-0.559838479,-0.38812774,-0.54829514
1.055,-0.560468539,-0.4073211,-0.58124071
1.056,-0.561102367,-0.40184343,-0.56074339
1.057,-0.561739952,-0.39695987,-0.56421852
1.058,-0.562381286,-0.41648591,-0.56520343
1.059,-0.563026358,-0.40295422,-0.56415856
